scientific_name,longitude,latitude
Empidonomus aurantioatrocristatus,-71.3855,-12.7717
Empidonomus aurantioatrocristatus,-55.9311079,-9.5972613
Empidonomus aurantioatrocristatus,-70.7052178,-12.4124209
Empidonomus aurantioatrocristatus,-59.5591667,-22.6583333
Empidonomus aurantioatrocristatus,-64.537468,-30.8040772
Empidonomus aurantioatrocristatus,-71.3855,-12.7717
Empidonomus aurantioatrocristatus,-77.2647346,-0.8779374
Empidonomus aurantioatrocristatus,-59.0452778,-22.6272222
Empidonomus aurantioatrocristatus,-49.8598936,-21.53655
Empidonomus aurantioatrocristatus,-58.4591667,-22.6497222
Empidonomus aurantioatrocristatus,-59.7522222,-21.1441667
Empidonomus aurantioatrocristatus,-76.3308,-1.06721
Empidonomus aurantioatrocristatus,-77.8114981,-0.9753243
Empidonomus aurantioatrocristatus,-50.034501,-6.088228
Empidonomus aurantioatrocristatus,-76.3308,-1.06721
Empidonomus aurantioatrocristatus,-72.8496659,-3.4426683
Empidonomus aurantioatrocristatus,-47.8728314,-15.8440243
Empidonomus aurantioatrocristatus,-60.0216667,-23.6930556
Empidonomus aurantioatrocristatus,-65.3716667,-10.2263889
Empidonomus aurantioatrocristatus,-50.1917267,-6.05043
Empidonomus aurantioatrocristatus,-59.4235989,-28.5177961
Empidonomus aurantioatrocristatus,-73.6013603,-3.9318012
Empidonomus aurantioatrocristatus,-76.041603,-0.548078
Empidonomus aurantioatrocristatus,-76.041603,-0.548078
Empidonomus aurantioatrocristatus,-59.8166667,-22.5
Empidonomus aurantioatrocristatus,-50.034501,-6.088228
Empidonomus aurantioatrocristatus,-69.2998994,-12.8024426
Empidonomus aurantioatrocristatus,-76.041603,-0.548078
Empidonomus aurantioatrocristatus,-57.45,-24.8833333
Empidonomus aurantioatrocristatus,-58.7476489,-33.4983288
Empidonomus aurantioatrocristatus,-70.1008415,-12.5662922
Empidonomus aurantioatrocristatus,-62.9574966,-36.7498885
Empidonomus aurantioatrocristatus,-70.7064,-12.35545
Empidonomus aurantioatrocristatus,-59.32,-22.6805556
Empidonomus aurantioatrocristatus,-56.3044081,-19.9526426
Empidonomus aurantioatrocristatus,-76.041603,-0.548078
Empidonomus aurantioatrocristatus,-69.2998994,-12.8024426
Empidonomus aurantioatrocristatus,-60.31,-20.31
Empidonomus aurantioatrocristatus,-63.5983515,-18.1051884
Empidonomus aurantioatrocristatus,-58.7544444,-19.845
Empidonomus aurantioatrocristatus,-55.764636,-15.4580275
Empidonomus aurantioatrocristatus,-65.4774857,-26.2236
Empidonomus aurantioatrocristatus,-44.802973,-17.3972325
Empidonomus aurantioatrocristatus,-76.1499363,-0.63721
Empidonomus aurantioatrocristatus,-73.3223361,-3.828593
Empidonomus aurantioatrocristatus,-57.83,-25.06
Empidonomus aurantioatrocristatus,-56.3044081,-19.9526426
Empidonomus aurantioatrocristatus,-65.3716667,-10.2263889
Empidonomus aurantioatrocristatus,-70.6769371,-12.4305417
Empidonomus aurantioatrocristatus,-62.6784182,-30.9178365
Empidonomus aurantioatrocristatus,-59.3025,-19.9838889
Empidonomus aurantioatrocristatus,-71.2401581,-12.6322981
Empidonomus aurantioatrocristatus,-60.31,-20.31
Empidonomus aurantioatrocristatus,-56.3044081,-19.9526426
Empidonomus aurantioatrocristatus,-59.0452778,-22.6272222
Empidonomus aurantioatrocristatus,-63.985,-11.5902778
Empidonomus aurantioatrocristatus,-60.3166667,-22.9333333
Empidonomus aurantioatrocristatus,-58.7819444,-19.7802778
Empidonomus aurantioatrocristatus,-55.9311079,-9.5972613
Empidonomus aurantioatrocristatus,-73.0766344,-3.5174047
